Summary,Issue Type,Description,Labels,Story Points,Owner,Week,Ticket ID
"W5-FE-03 Execute clone and result summary screen",Story,"Run clone and display success/failure summary with counts.","safe-track,week-5,frontend,clone",3,"FE Lead",5,"W5-FE-03"
"W5-INT-01 Verify rerun does not duplicate data",Task,"Run integration checks for rerun safety and duplicate prevention.","safe-track,week-5,integration,clone",3,"Integrator",5,"W5-INT-01"
"W5-QA-01 Clone functional and integrity suite",Task,"Execute clone E2E tests and integrity validations.","safe-track,week-5,qa,clone",5,"QA Lead",5,"W5-QA-01"
"W6-BE-01 Election schema migrations",Story,"Create election-related schema for positions, nominations, votes, and results.","safe-track,week-6,backend,elections",5,"BE Lead",6,"W6-BE-01"
"W6-BE-02 Position management APIs",Story,"Implement create/update/close APIs for event election positions.","safe-track,week-6,backend,elections",3,"BE Lead",6,"W6-BE-02"
"W6-BE-03 Nomination APIs",Story,"Implement nomination submission and validation APIs.","safe-track,week-6,backend,elections",5,"BE Lead",6,"W6-BE-03"
"W6-BE-04 Voting APIs with one-vote constraints",Story,"Implement voting APIs with eligibility and one-vote enforcement.","safe-track,week-6,backend,elections",5,"BE Lead",6,"W6-BE-04"
"W6-BE-05 Result computation and publish APIs",Story,"Compute winners and publish year-specific holders.","safe-track,week-6,backend,elections",5,"BE Lead",6,"W6-BE-05"
"W6-FE-01 Position board and phase states",Story,"Build election position board with phase/status indicators.","safe-track,week-6,frontend,elections",3,"FE Lead",6,"W6-FE-01"
"W6-FE-02 Nomination and voting screens",Story,"Build screens for nomination and voting actions.","safe-track,week-6,frontend,elections",5,"FE Lead",6,"W6-FE-02"
"W6-FE-03 Results and winner display",Story,"Display election results and final winners per position.","safe-track,week-6,frontend,elections",3,"FE Lead",6,"W6-FE-03"
"W6-INT-01 Year-isolation and role propagation checks",Task,"Validate year isolation and winner role propagation.","safe-track,week-6,integration,elections",3,"Integrator",6,"W6-INT-01"
"W6-QA-01 End-to-end election and edge-case suite",Task,"Execute full election flow and edge-case regression tests.","safe-track,week-6,qa,elections",5,"QA Lead",6,"W6-QA-01"
